sep=;
code;number;country;groupName;pageNumber;slotNumber;isSpecial
"RSA-1";"1";"África do Sul";"Grupo A";"1";"1";"false"
"RSA-2";"2";"África do Sul";"Grupo A";"1";"2";"false"
"RSA-3";"3";"África do Sul";"Grupo A";"1";"3";"false"
"RSA-4";"4";"África do Sul";"Grupo A";"1";"4";"false"
"RSA-5";"5";"África do Sul";"Grupo A";"1";"5";"false"
"RSA-6";"6";"África do Sul";"Grupo A";"1";"6";"false"
"RSA-7";"7";"África do Sul";"Grupo A";"1";"7";"false"
"RSA-8";"8";"África do Sul";"Grupo A";"1";"8";"false"
"RSA-9";"9";"África do Sul";"Grupo A";"1";"9";"false"
"RSA-10";"10";"África do Sul";"Grupo A";"1";"10";"false"
"RSA-11";"11";"África do Sul";"Grupo A";"1";"11";"false"
"RSA-12";"12";"África do Sul";"Grupo A";"1";"12";"false"
"RSA-13";"13";"África do Sul";"Grupo A";"1";"13";"false"
"RSA-14";"14";"África do Sul";"Grupo A";"1";"14";"false"
"RSA-15";"15";"África do Sul";"Grupo A";"1";"15";"false"
"RSA-16";"16";"África do Sul";"Grupo A";"1";"16";"false"
"RSA-17";"17";"África do Sul";"Grupo A";"1";"17";"false"
"RSA-18";"18";"África do Sul";"Grupo A";"1";"18";"false"
"RSA-19";"19";"África do Sul";"Grupo A";"1";"19";"false"
"RSA-20";"20";"África do Sul";"Grupo A";"1";"20";"false"
"KOR-1";"21";"Coreia do Sul";"Grupo A";"2";"1";"false"
"KOR-2";"22";"Coreia do Sul";"Grupo A";"2";"2";"false"
"KOR-3";"23";"Coreia do Sul";"Grupo A";"2";"3";"false"
"KOR-4";"24";"Coreia do Sul";"Grupo A";"2";"4";"false"
"KOR-5";"25";"Coreia do Sul";"Grupo A";"2";"5";"false"
"KOR-6";"26";"Coreia do Sul";"Grupo A";"2";"6";"false"
"KOR-7";"27";"Coreia do Sul";"Grupo A";"2";"7";"false"
"KOR-8";"28";"Coreia do Sul";"Grupo A";"2";"8";"false"
"KOR-9";"29";"Coreia do Sul";"Grupo A";"2";"9";"false"
"KOR-10";"30";"Coreia do Sul";"Grupo A";"2";"10";"false"
"KOR-11";"31";"Coreia do Sul";"Grupo A";"2";"11";"false"
"KOR-12";"32";"Coreia do Sul";"Grupo A";"2";"12";"false"
"KOR-13";"33";"Coreia do Sul";"Grupo A";"2";"13";"false"
"KOR-14";"34";"Coreia do Sul";"Grupo A";"2";"14";"false"
"KOR-15";"35";"Coreia do Sul";"Grupo A";"2";"15";"false"
"KOR-16";"36";"Coreia do Sul";"Grupo A";"2";"16";"false"
"KOR-17";"37";"Coreia do Sul";"Grupo A";"2";"17";"false"
"KOR-18";"38";"Coreia do Sul";"Grupo A";"2";"18";"false"
"KOR-19";"39";"Coreia do Sul";"Grupo A";"2";"19";"false"
"KOR-20";"40";"Coreia do Sul";"Grupo A";"2";"20";"false"
"MEX-1";"41";"México";"Grupo A";"3";"1";"false"
"MEX-2";"42";"México";"Grupo A";"3";"2";"false"
"MEX-3";"43";"México";"Grupo A";"3";"3";"false"
"MEX-4";"44";"México";"Grupo A";"3";"4";"false"
"MEX-5";"45";"México";"Grupo A";"3";"5";"false"
"MEX-6";"46";"México";"Grupo A";"3";"6";"false"
"MEX-7";"47";"México";"Grupo A";"3";"7";"false"
"MEX-8";"48";"México";"Grupo A";"3";"8";"false"
"MEX-9";"49";"México";"Grupo A";"3";"9";"false"
"MEX-10";"50";"México";"Grupo A";"3";"10";"false"
"MEX-11";"51";"México";"Grupo A";"3";"11";"false"
"MEX-12";"52";"México";"Grupo A";"3";"12";"false"
"MEX-13";"53";"México";"Grupo A";"3";"13";"false"
"MEX-14";"54";"México";"Grupo A";"3";"14";"false"
"MEX-15";"55";"México";"Grupo A";"3";"15";"false"
"MEX-16";"56";"México";"Grupo A";"3";"16";"false"
"MEX-17";"57";"México";"Grupo A";"3";"17";"false"
"MEX-18";"58";"México";"Grupo A";"3";"18";"false"
"MEX-19";"59";"México";"Grupo A";"3";"19";"false"
"MEX-20";"60";"México";"Grupo A";"3";"20";"false"
"CZE-1";"61";"República Tcheca";"Grupo A";"4";"1";"false"
"CZE-2";"62";"República Tcheca";"Grupo A";"4";"2";"false"
"CZE-3";"63";"República Tcheca";"Grupo A";"4";"3";"false"
"CZE-4";"64";"República Tcheca";"Grupo A";"4";"4";"false"
"CZE-5";"65";"República Tcheca";"Grupo A";"4";"5";"false"
"CZE-6";"66";"República Tcheca";"Grupo A";"4";"6";"false"
"CZE-7";"67";"República Tcheca";"Grupo A";"4";"7";"false"
"CZE-8";"68";"República Tcheca";"Grupo A";"4";"8";"false"
"CZE-9";"69";"República Tcheca";"Grupo A";"4";"9";"false"
"CZE-10";"70";"República Tcheca";"Grupo A";"4";"10";"false"
"CZE-11";"71";"República Tcheca";"Grupo A";"4";"11";"false"
"CZE-12";"72";"República Tcheca";"Grupo A";"4";"12";"false"
"CZE-13";"73";"República Tcheca";"Grupo A";"4";"13";"false"
"CZE-14";"74";"República Tcheca";"Grupo A";"4";"14";"false"
"CZE-15";"75";"República Tcheca";"Grupo A";"4";"15";"false"
"CZE-16";"76";"República Tcheca";"Grupo A";"4";"16";"false"
"CZE-17";"77";"República Tcheca";"Grupo A";"4";"17";"false"
"CZE-18";"78";"República Tcheca";"Grupo A";"4";"18";"false"
"CZE-19";"79";"República Tcheca";"Grupo A";"4";"19";"false"
"CZE-20";"80";"República Tcheca";"Grupo A";"4";"20";"false"
"BIH-1";"81";"Bósnia e Herzegovina";"Grupo B";"5";"1";"false"
"BIH-2";"82";"Bósnia e Herzegovina";"Grupo B";"5";"2";"false"
"BIH-3";"83";"Bósnia e Herzegovina";"Grupo B";"5";"3";"false"
"BIH-4";"84";"Bósnia e Herzegovina";"Grupo B";"5";"4";"false"
"BIH-5";"85";"Bósnia e Herzegovina";"Grupo B";"5";"5";"false"
"BIH-6";"86";"Bósnia e Herzegovina";"Grupo B";"5";"6";"false"
"BIH-7";"87";"Bósnia e Herzegovina";"Grupo B";"5";"7";"false"
"BIH-8";"88";"Bósnia e Herzegovina";"Grupo B";"5";"8";"false"
"BIH-9";"89";"Bósnia e Herzegovina";"Grupo B";"5";"9";"false"
"BIH-10";"90";"Bósnia e Herzegovina";"Grupo B";"5";"10";"false"
"BIH-11";"91";"Bósnia e Herzegovina";"Grupo B";"5";"11";"false"
"BIH-12";"92";"Bósnia e Herzegovina";"Grupo B";"5";"12";"false"
"BIH-13";"93";"Bósnia e Herzegovina";"Grupo B";"5";"13";"false"
"BIH-14";"94";"Bósnia e Herzegovina";"Grupo B";"5";"14";"false"
"BIH-15";"95";"Bósnia e Herzegovina";"Grupo B";"5";"15";"false"
"BIH-16";"96";"Bósnia e Herzegovina";"Grupo B";"5";"16";"false"
"BIH-17";"97";"Bósnia e Herzegovina";"Grupo B";"5";"17";"false"
"BIH-18";"98";"Bósnia e Herzegovina";"Grupo B";"5";"18";"false"
"BIH-19";"99";"Bósnia e Herzegovina";"Grupo B";"5";"19";"false"
"BIH-20";"100";"Bósnia e Herzegovina";"Grupo B";"5";"20";"false"
"CAN-1";"101";"Canadá";"Grupo B";"6";"1";"false"
"CAN-2";"102";"Canadá";"Grupo B";"6";"2";"false"
"CAN-3";"103";"Canadá";"Grupo B";"6";"3";"false"
"CAN-4";"104";"Canadá";"Grupo B";"6";"4";"false"
"CAN-5";"105";"Canadá";"Grupo B";"6";"5";"false"
"CAN-6";"106";"Canadá";"Grupo B";"6";"6";"false"
"CAN-7";"107";"Canadá";"Grupo B";"6";"7";"false"
"CAN-8";"108";"Canadá";"Grupo B";"6";"8";"false"
"CAN-9";"109";"Canadá";"Grupo B";"6";"9";"false"
"CAN-10";"110";"Canadá";"Grupo B";"6";"10";"false"
"CAN-11";"111";"Canadá";"Grupo B";"6";"11";"false"
"CAN-12";"112";"Canadá";"Grupo B";"6";"12";"false"
"CAN-13";"113";"Canadá";"Grupo B";"6";"13";"false"
"CAN-14";"114";"Canadá";"Grupo B";"6";"14";"false"
"CAN-15";"115";"Canadá";"Grupo B";"6";"15";"false"
"CAN-16";"116";"Canadá";"Grupo B";"6";"16";"false"
"CAN-17";"117";"Canadá";"Grupo B";"6";"17";"false"
"CAN-18";"118";"Canadá";"Grupo B";"6";"18";"false"
"CAN-19";"119";"Canadá";"Grupo B";"6";"19";"false"
"CAN-20";"120";"Canadá";"Grupo B";"6";"20";"false"
"QAT-1";"121";"Catar";"Grupo B";"7";"1";"false"
"QAT-2";"122";"Catar";"Grupo B";"7";"2";"false"
"QAT-3";"123";"Catar";"Grupo B";"7";"3";"false"
"QAT-4";"124";"Catar";"Grupo B";"7";"4";"false"
"QAT-5";"125";"Catar";"Grupo B";"7";"5";"false"
"QAT-6";"126";"Catar";"Grupo B";"7";"6";"false"
"QAT-7";"127";"Catar";"Grupo B";"7";"7";"false"
"QAT-8";"128";"Catar";"Grupo B";"7";"8";"false"
